Country Name,Passport Score,Passport Rank,Visa Free,eTA,Passport Free,VOA,eVisa,Visa Required,Entry Ban,
Qatar,48.4,94th,64,5,5,30,27,95,0,
Russia,48.18,95th,84,4,0,30,21,80,7,
Timor-Leste,47.87,96th,65,2,0,27,35,97,0,
Kosovo,42.95,97th,47,1,4,23,30,111,10,
Kuwait,41.12,98th,59,5,0,39,13,110,0,
South Africa,40.34,99th,71,3,0,29,28,95,0,
Ecuador,39.66,100th,49,4,8,31,31,103,0,
Saudi Arabia,39.52,101st,51,4,5,29,32,105,0,
Jamaica,38.65,102nd,60,1,0,29,20,116,0,
Belize,38.24,103rd,73,2,0,28,17,106,0,
Maldives,37.65,104th,64,2,0,25,28,107,0,
Bahrain,37.47,105th,46,5,0,37,19,119,0,
Thailand,36.5,106th,46,3,0,32,32,113,0,
Fiji,36.06,107th,57,1,0,31,20,117,0,
Belarus,35.88,108th,46,2,0,35,28,115,0,
Guyana,35.73,109th,55,3,0,27,29,112,0,
Kazakhstan,35.47,110th,45,2,0,29,30,120,0,
Oman,34.72,111st,44,5,0,32,29,116,0,
Suriname,34.58,112nd,46,3,0,29,36,112,0,
Mongolia,33.97,113rd,40,2,0,26,35,123,0,
Indonesia,33.92,114th,50,3,0,26,30,117,0,
Bolivia,33.61,115th,36,4,8,30,37,111,0,
Nauru,33.57,116th,57,1,0,33,14,121,0,
Botswana,32.77,117th,59,2,0,25,20,120,0,
China,32.28,118th,49,1,0,34,26,116,0,
Eswatini,32.12,119th,50,1,0,25,12,138,0,
Armenia,31.61,120th,38,1,0,31,31,124,1,
Vanuatu,31.43,121st,55,1,0,34,13,123,0,
Dominican Republic,31.21,122nd,36,3,0,33,15,139,0,
Papua New Guinea,30.7,123rd,50,3,0,33,29,111,0,
Azerbaijan,29.13,124th,36,2,0,33,28,127,0,
Uzbekistan,27.62,125th,32,1,0,33,27,133,0,
Lesotho,27.5,126th,48,2,0,26,16,134,0,
Philippines,27.46,127th,37,2,0,26,36,125,0,
Namibia,27.02,128th,51,2,0,25,25,123,0,
Morocco,26.93,129th,41,3,0,27,33,122,0,
Tunisia,26.41,130th,36,3,0,31,27,129,0,
Cuba,24.84,131st,32,2,0,28,29,135,0,
India,23.75,132nd,32,3,2,25,39,125,0,
Malawi,23.46,133rd,42,2,0,26,10,146,0,
Kyrgyzstan,23.33,134th,29,0,0,32,15,150,0,
Zambia,23.21,135th,45,2,0,25,23,131,0,
Cambodia,22.77,136th,24,2,0,27,38,135,0,
Jordan,22.44,137th,25,3,0,26,40,132,0,
Gambia,22.14,138th,45,4,0,22,16,139,0,
Kenya,22.01,139th,46,0,0,27,12,141,0,
Tanzania,21.92,140th,48,1,0,21,9,147,0,
Cabo Verde,21.9,141st,38,2,0,26,14,146,0,
Tajikistan,21.76,142nd,24,0,0,33,20,149,0,
Ghana,21.64,143rd,45,1,0,21,19,140,0,
Gabon,21.5,144th,31,2,0,28,29,136,0,
Vietnam,21.39,145th,25,2,0,24,36,139,0,
Zimbabwe,21.12,146th,38,2,0,22,12,152,0,
Uganda,21,147th,40,0,0,26,11,149,0,
Madagascar,20.85,148th,28,2,0,28,31,137,0,
Benin,20.62,149th,34,1,0,27,15,149,0,
Mozambique,20.56,150th,37,1,0,26,27,135,0,
Sao Tome and Principe,20.28,151st,25,2,0,32,12,155,0,
Laos,19.64,152nd,22,3,0,21,36,144,0,
Egypt,19.47,153rd,23,2,0,30,37,134,0,
Sierra Leone,19.35,154th,42,2,0,20,8,154,0,
Algeria,19.24,155th,23,3,0,30,36,134,0,
Rwanda,19.02,156th,31,1,0,32,9,153,0,
Angola,18.85,157th,26,2,0,26,29,143,0,
Bhutan,18.31,158th,17,0,1,33,22,153,0,
Senegal,18.14,159th,32,2,0,22,18,152,0,
Haiti,17.81,160th,18,1,0,29,14,163,1,
Guinea,17.6,161st,28,2,0,24,16,156,0,
Turkmenistan,17.52,162nd,15,2,0,33,26,150,0,
Lebanon,17.39,163rd,20,2,0,24,34,146,0,
Cameroon,17.25,164th,25,1,0,27,23,150,0,
Burkina Faso,17.22,165th,31,2,0,25,15,153,0,
Myanmar,17.16,166th,17,3,0,24,37,145,0,
Mauritania,16.69,167th,28,1,0,24,16,157,0,
Liberia,16.53,168th,28,1,0,21,14,162,0,
Togo,16.46,169th,27,2,0,27,14,156,0,
Iran,16.15,170th,19,2,0,25,30,149,1,
Equ+A172:A175atorial Guinea,16.13,171st,20,2,0,31,13,160,0,
Ethiopia,15.97,172nd,13,1,0,31,28,153,0,
Comoros,15.95,173rd,18,0,0,33,17,158,0,
Chad,15.89,174th,24,2,0,26,16,158,0,
Sri Lanka,15.87,175th,23,2,0,19,35,147,0,
Niger,15.78,176th,31,1,0,21,15,158,0,
Central African Republic,15.62,177th,23,2,0,27,13,161,0,
Guinea-Bissau,15.47,178th,27,1,0,24,14,160,0,
Mali,15.45,179th,31,3,0,19,13,160,0,
Yemen,15.33,180th,10,0,0,28,41,146,1,
Ivory Coast,15.29,181st,29,0,0,23,17,157,0,
Democratic Republic of the Congo,15.13,182nd,20,1,0,24,27,154,0,
South Sudan,14.97,183rd,21,1,0,22,26,156,0,
Nepal,14.67,184th,11,2,1,22,42,148,0,
Burundi,14.67,185th,18,1,0,27,14,166,0,
Djibouti,14.53,186th,14,1,0,30,16,165,0,
Republic of the Congo,13.75,187th,19,2,0,26,12,167,0,
Palestine,13.66,188th,14,0,0,24,28,157,3,
Bangladesh,13.08,189th,21,2,0,16,34,151,2,
Eritrea,12.15,190th,10,2,0,26,15,173,0,
Libya,11.89,191st,14,1,0,22,24,164,1,
Nigeria,11.59,192nd,26,2,0,16,12,170,0,
Iraq,11.51,193rd,12,3,0,17,32,162,0,
North Korea,11.09,194th,9,2,0,24,36,154,1,
Sudan,10.7,195th,11,1,0,24,17,171,2,
Pakistan,10.33,196th,12,1,0,20,33,156,4,
Syria,10.06,197th,7,2,0,18,31,166,2,
Afghanistan,9.31,198th,5,2,0,19,32,168,0,
Somalia,8.15,199th,10,1,0,21,22,169,3,
